url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,O,P,EU
tkFAzDwQGus,"
          
          
          
          
            Élections européennes : le débat entre Marion Maréchal (Reconquête) et Valérie Hayer (Renaissance)
          
        ",Europe 1,proposal,2024-05-15T18:00:35.885Z,,0,1,2,oQpryKlWYjY,1,0,0,0,1,0,1,1
okKCWWg80Fs,"
          
          
          
          
            1994 : Le débat entre Bernard Tapie et Jean-Marie Le Pen | Archive INA
          
        ",INA Politique,proposal,2024-05-15T18:00:35.890Z,,0,1,2,oQpryKlWYjY,1,0,0,0,0,0,1,0
7cRFmYkNIK0,"
          
          
          
          
            Le vif échange entre Clémentine Autain et Jordan Bardella sur les tenues religieuses à lécole
          
        ",BFMTV,proposal,2024-05-15T18:00:35.895Z,,0,1,2,oQpryKlWYjY,1,1,0,0,0,0,1,1
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-15T18:00:35.900Z,,0,1,2,oQpryKlWYjY,1,0,1,0,0,0,1,1
OY2WvPg35-Y,"
          
          
          
          
            Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité
          
        ",BFMTV,proposal,2024-05-15T18:00:35.905Z,,0,1,2,oQpryKlWYjY,1,0,0,0,1,0,1,1
mbxtT0Kk-Pw,"
          
          
          
          
            “Crépol: une France qui bascule?”: linterview de Jordan Bardella en intégralité
          
        ",BFMTV,proposal,2024-05-15T18:00:35.915Z,,0,1,2,oQpryKlWYjY,1,0,0,0,0,0,1,1
MH30gpjYc3A,"
          
          
          
          
            Jordan Bardella aime bien Gabriel Attal ?
          
        ",CYRIL HANOUNA,proposal,2024-05-15T18:00:35.920Z,,0,1,2,oQpryKlWYjY,1,0,0,0,1,0,1,1
2eRsM9vS8hw,"
          
          
          
          
            Le Grand Jury - Européennes : le grand débat (lintégrale)
          
        ",RTL  ,proposal,2024-05-15T18:00:35.925Z,,0,1,2,oQpryKlWYjY,0,0,0,0,0,0,1,1
mJMshRhfuqs,"
          
          
          
          
            Personne na envie dy aller : Dominique de Villepin sur lenvoi de troupes au sol en Ukraine
          
        ",LCI,proposal,2024-05-15T18:00:35.929Z,,0,1,2,oQpryKlWYjY,0,0,0,0,0,0,1,0
70_vcb0EQtk,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Jordan Bardella, président du RN, sur RMC
          
        ",RMC,proposal,2024-05-15T18:00:35.934Z,,0,1,2,oQpryKlWYjY,1,0,0,0,0,0,1,1
OdCvq3ViEsM,"
          
          
          
          
            Mathilde Panot/Marion Maréchal, le débat
          
        ",BFMTV,proposal,2024-05-15T18:00:35.940Z,,0,1,2,oQpryKlWYjY,1,1,0,0,0,0,1,0
g6PfMRScKbg,"
          
          
          
          
            Programme contre programme: le débat entre Jordan Bardella et Gérald Darmanin en intégralité
          
        ",BFMTV,proposal,2024-05-15T18:00:35.946Z,,0,1,2,oQpryKlWYjY,1,0,0,0,0,0,1,1
elgTG9oDiJY,"
          
          
          
          
            Replay du débat dEmmanuel Macron et Marine Le Pen, en intégrale
          
        ",TF1 INFO,proposal,2024-05-15T18:00:35.951Z,,0,1,2,oQpryKlWYjY,1,0,0,0,1,0,1,0
oOdXYFGohf0,"
          
          
          
          
            Jordan Bardella répond à Eric Dupond-Moretti sur le tacle à Marine Le Pen !
          
        ",Touche pas à mon poste !,proposal,2024-05-15T18:00:35.957Z,,0,1,2,oQpryKlWYjY,1,0,0,0,1,0,1,1
vT1X8CtBsmY,"
          
          
          
          
            Les intérêts français ne sont plus défendus au niveau européen, déplore Jordan Bardella
          
        ",franceinfo,proposal,2024-05-15T18:00:35.962Z,,0,1,2,oQpryKlWYjY,1,0,0,0,0,0,1,1
2BFRYq2yt_c,"
          
          
          
          
            Le débat tendu entre Marine Le Pen et Charles Consigny, soutien de Valérie Pécresse
          
        ",Touche pas à mon poste !,proposal,2024-05-15T18:00:35.967Z,,0,1,2,oQpryKlWYjY,1,0,0,1,0,0,1,0
yssF2SYV8Uc,"
          
          
          
          
            Emmanuel Macron/Marine Le Pen : qui a fait la meilleure campagne ?
          
        ",Touche pas à mon poste !,proposal,2024-05-15T18:00:35.973Z,,0,1,2,oQpryKlWYjY,1,0,0,0,1,0,1,0
OY2WvPg35-Y,Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité,BFMTV,regular,2024-05-15T18:00:49.149Z,,6000,2,3,,1,0,0,0,1,0,1,1
2eRsM9vS8hw,"
          
          
          
          
            Le Grand Jury - Européennes : le grand débat (lintégrale)
          
        ",RTL  ,proposal,2024-05-15T18:00:49.718Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,1
vY1N58zdnw4,"
          
          
          
          
            LHeure des Pros - Attaque du fourgon pénitentiaire : Il faut renverser la table !
          
        ",Europe 1,proposal,2024-05-15T18:00:49.768Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,1
w5uWZXsBNx0,"
          
          
          
          
            JÉRÔME LE BANNER: SON EMBROUILLE AVEC VIN DIESEL, SES BAGARRES DE RUE, SES COMBATS LES PLUS VIOLENTS
          
        ",LEGEND,proposal,2024-05-15T18:00:49.861Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,1,0,0
M-9AImj1ZPc,"
          
          
          
          
            MASCUS : Infiltration chez les hommes qui détestent les femmes - Documentaire complet
          
        ",francetv slash / enquêtes,proposal,2024-05-15T18:00:50.288Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,1,0,0
rT-qjKal_9Q,"
          
          
          
          
            Israël, cest pire que la Russie: linterview intégrale de Rima Hassan sur BFMTV
          
        ",BFMTV,proposal,2024-05-15T18:00:50.297Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,0
7qoOhuazGLc,"
          
          
          
          
            How 1500 people LOST THEIR LIVES aboard the TITANIC
          
        ",100% DOCS,proposal,2024-05-15T18:00:50.302Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,1,0,0
Vl1QApX8--E,"
          
          
          
          
            Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024
          
        ",LCP - Assemblée nationale,proposal,2024-05-15T18:00:50.317Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,1
qccNrOZPFoI,"
          
          
          
          
            Face à Poutine - Le coup dessai (1/3) | ARTE
          
        ",ARTE,proposal,2024-05-15T18:00:50.324Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,0
chipDzV-Y6I,"
          
          
          
          
            Convoi pénitentiaire, la sanglante attaque
          
        ",BFMTV,proposal,2024-05-15T18:00:50.333Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,1,0,0
4sZqc4waf8M,"
          
          
          
          
            Lintégrale du Face-à-Face avec Éric Zemmour
          
        ",BFMTV,proposal,2024-05-15T18:00:50.339Z,,0,2,3,OY2WvPg35-Y,1,0,0,0,0,0,1,0
60eVndD6SKk,"
          
          
          
          
            Poutine, lhomme le plus protégé du monde
          
        ",BFMTV,proposal,2024-05-15T18:00:50.346Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,0
F6g4rGpN8hs,"
          
          
          
          
            Le Grand Jury des Auditeurs de RTL : Marion Maréchal
          
        ",RTL  ,proposal,2024-05-15T18:00:50.351Z,,0,2,3,OY2WvPg35-Y,1,0,0,0,0,0,1,0
K1kuMvgBVg8,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Marine Le Pen, présidente du groupe RN à lAssemblée nat...
          
        ",RMC,proposal,2024-05-15T18:00:50.358Z,,0,2,3,OY2WvPg35-Y,1,0,0,0,0,0,1,0
RUN4gH6kXZ8,"
          
          
          
          
            Léducation au péril du wokisme et de lislamo-gauchisme I Gilles Kepel face à Jean-Michel Blanquer
          
        ",Le Figaro,proposal,2024-05-15T18:00:50.364Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,1,0,0
5nADF63Po9g,"
          
          
          
          
            [🇺🇦/🇷🇺] Larmée Ukrainienne recule vers Kharkiv - Comment améliorer la défense aérienne ukrainienne
          
        ",Xavier Tytelman,proposal,2024-05-15T18:00:50.371Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,1,0,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-15T18:00:50.377Z,,0,2,3,OY2WvPg35-Y,1,0,1,0,0,0,1,1
WIW0f6yvVw0,"
          
          
          
          
            Poutine, la haine de lOccident
          
        ",BFMTV,proposal,2024-05-15T18:00:50.383Z,,0,2,3,OY2WvPg35-Y,0,0,0,0,0,0,1,0
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-15T18:00:50.392Z,,0,2,3,OY2WvPg35-Y,1,0,0,0,0,0,1,0
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-15T18:00:50.400Z,,0,2,3,OY2WvPg35-Y,1,0,1,0,0,0,1,1
3OyM9GpePDA,"
          
          
          
          
            Le RN, le parti des policiers ? Mathieu Valet est face aux GG
          
        ",RMC,proposal,2024-05-15T18:00:50.408Z,,0,2,3,OY2WvPg35-Y,1,0,0,0,0,0,1,0
TmIVC9AGTuo,Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation,France Inter,regular,2024-05-15T18:00:58.164Z,,6000,3,4,,1,0,0,0,0,0,1,1
vY1N58zdnw4,"
          
          
          
          
            LHeure des Pros - Attaque du fourgon pénitentiaire : Il faut renverser la table !
          
        ",Europe 1,proposal,2024-05-15T18:00:59.121Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,0,1,1
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-15T18:00:59.161Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,0
6kABAdGbNmU,"
          
          
          
          
            Marine Le Pen finalement prête à débattre avec Macron avant les européennes, selon Jordan Bardella
          
        ",RTL  ,proposal,2024-05-15T18:00:59.248Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,1,0,1,1
K1kuMvgBVg8,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Marine Le Pen, présidente du groupe RN à lAssemblée nat...
          
        ",RMC,proposal,2024-05-15T18:00:59.255Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,0
niH8ZOtGEy0,"
          
          
          
          
            Mon fils a pris perpétuité: le témoignage du père dun agent tué lors de lattaque du fourgon
          
        ",BFMTV,proposal,2024-05-15T18:00:59.262Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,1,0,0
T4wr_MdzDRo,"
          
          
          
          
            Vote RN : les motivations des électeurs ont-elles changé ?
          
        ",France Culture,proposal,2024-05-15T18:00:59.267Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,0
8-vBh4tJP5w,"
          
          
          
          
            France, Zone Euro, USA, Royaume-Uni : qui perd, qui gagne ?
          
        ",Marc Touati,proposal,2024-05-15T18:00:59.274Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,1,0,0
2nQeGRsrLIQ,"
          
          
          
          
            Michel Onfray sur Gaza : Ce nest pas un génocide
          
        ",Europe 1,proposal,2024-05-15T18:00:59.280Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,0,1,1
Gq_5GZqbk7o,"
          
          
          
          
            LHeure des Pros : Il y a un énorme désespoir du peuple français (François Asselineau)
          
        ",Europe 1,proposal,2024-05-15T18:00:59.288Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,1
RUN4gH6kXZ8,"
          
          
          
          
            Léducation au péril du wokisme et de lislamo-gauchisme I Gilles Kepel face à Jean-Michel Blanquer
          
        ",Le Figaro,proposal,2024-05-15T18:00:59.294Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,1,0,0
4sZqc4waf8M,"
          
          
          
          
            Lintégrale du Face-à-Face avec Éric Zemmour
          
        ",BFMTV,proposal,2024-05-15T18:00:59.300Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,0
b-yKdTIJ8K8,"
          
          
          
          
            Lutte contre le narcotrafic : Les organisations criminelles sadaptent à la répression
          
        ",France Inter,proposal,2024-05-15T18:00:59.307Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,1,0,0
jo8HCTZyuvI,"
          
          
          
          
            💘 Fabrice Luchini, sa déclaration à Bernard Pivot - Vivement Dimanche 19 juin 2011
          
        ",Vivement Dimanche ,proposal,2024-05-15T18:00:59.312Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,1,0,0
mJMshRhfuqs,"
          
          
          
          
            Personne na envie dy aller : Dominique de Villepin sur lenvoi de troupes au sol en Ukraine
          
        ",LCI,proposal,2024-05-15T18:00:59.319Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,0,1,0
vdS2BYVsPv8,"
          
          
          
          
            Éric Zemmour lève la main sur une femme à Ajaccio : Cest de la légitime défense (Sarah Knafo)
          
        ",Europe 1,proposal,2024-05-15T18:00:59.328Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,1
5nADF63Po9g,"
          
          
          
          
            [🇺🇦/🇷🇺] Larmée Ukrainienne recule vers Kharkiv - Comment améliorer la défense aérienne ukrainienne
          
        ",Xavier Tytelman,proposal,2024-05-15T18:00:59.334Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,1,0,0
x5tx85IJWFQ,"
          
          
          
          
            Dissolution : Marion Maréchal accuse Bardella de mentir aux Français
          
        ",Public Sénat,proposal,2024-05-15T18:00:59.339Z,,0,3,4,TmIVC9AGTuo,1,0,0,0,0,0,1,1
VlPoakQPMIA,"
          
          
          
          
            Etats-Unis VS Chine : la guerre est déclarée
          
        ",Publications Agora,proposal,2024-05-15T18:00:59.348Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,0,1,0
v3tMSl6Fhfg,"
          
          
          
          
            Européennes J-30 : le point de vue de Jérôme Fourquet
          
        ",Le Figaro,proposal,2024-05-15T18:00:59.353Z,,0,3,4,TmIVC9AGTuo,0,0,0,0,0,0,1,1
vPY715WtPlc,"
          
          
          
          
            Clémence Guetté dénonce le climat actuel de censure et de répression
          
        ",France Inter,proposal,2024-05-15T18:00:59.358Z,,0,3,4,TmIVC9AGTuo,0,1,0,0,0,0,1,0
B8dBHd-hAC4,LUnion fait la France 2022 - Paris,Positiv,regular,2024-05-15T18:01:07.638Z,,6000,4,5,,0,0,0,0,0,1,0,0
Z5oqRlkvHCY,"
          
          
          
          
            Slimane - Mon Amour Live Finale de lEurovision 2024 !
          
        ",Slimane,proposal,2024-05-15T18:01:37.812Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
2c7oeo6Meug,"
          
          
          
          
            BÉTON ARMÉ - L’union fait la force (Promo) [CANADA - 2022]
          
        ",No Punks In K-Town,proposal,2024-05-15T18:01:37.820Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
JPOeEES9ZoQ,"
          
          
          
          
            Eurovision : Je ne vois pas de diversité dans ce concours mais de lexhibitionnisme
          
        ",RMC,proposal,2024-05-15T18:01:37.826Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
FMgCe6X-eiE,"
          
          
          
          
            EXCLUSIVITÉ MONDIALE - La panthère noire dAfrique filmée à la télévision pour la 1ère fois !
          
        ",TF1 INFO,proposal,2024-05-15T18:01:37.836Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
7N7ybsQ5-bo,"
          
          
          
          
            Quest-ce quon risque avec leau de la Seine ?
          
        ",Brut,proposal,2024-05-15T18:01:37.842Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
7oVdmGWIKas,"
          
          
          
          
            Clash ! Slimane recadre Yann Moix -  On nest pas couché 24 septembre 2016
          
        ",On nest pas couché,proposal,2024-05-15T18:01:37.847Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
xLUWDIfmVOI,"
          
          
          
          
            Lunion fait la France
          
        ",1083,proposal,2024-05-15T18:01:37.852Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
mJMshRhfuqs,"
          
          
          
          
            Personne na envie dy aller : Dominique de Villepin sur lenvoi de troupes au sol en Ukraine
          
        ",LCI,proposal,2024-05-15T18:01:37.861Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,0,1,0
Gq_5GZqbk7o,"
          
          
          
          
            LHeure des Pros : Il y a un énorme désespoir du peuple français (François Asselineau)
          
        ",Europe 1,proposal,2024-05-15T18:01:37.866Z,,0,4,5,B8dBHd-hAC4,1,0,0,0,0,0,1,1
LeCgE9Jni-4,"
          
          
          
          
            Vladimir Poutine menace lEurope - Reportage #cdanslair 08.05.2024
          
        ",C dans lair,proposal,2024-05-15T18:01:37.874Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,0,1,1
iAc5jQHxtiE,"
          
          
          
          
            LHeure des Pros : Ce qui minquiète en France cest la dérive liberticide (Florian Philippot)
          
        ",Europe 1,proposal,2024-05-15T18:01:37.880Z,,0,4,5,B8dBHd-hAC4,1,0,0,0,0,0,1,1
lLTeA4RCokU,"
          
          
          
          
            الرئيس يبكي غضبا  وقهرا بسبب تدنيس الراية التونسية اثر زيارة غير معلنة  إلى المسبح الأولمبي برادس
          
        ",Tout neuf,proposal,2024-05-15T18:01:37.885Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
i4vy6ZC_AfM,"
          
          
          
          
            Lunion Fait La Force
          
        ",KamelancVEVO,proposal,2024-05-15T18:01:37.891Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
cgX2C5BE4G0,"
          
          
          
          
            Le scandale du réseau routier français
          
        ",Documentaire Société,proposal,2024-05-15T18:01:37.895Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
IyUQxaJZbno,"
          
          
          
          
            J’AI ACHETÉ LA MOTO LA PLUS PUISSANTE DU MONDE 😨😱!! GMK DEVIENS MOTARD 😳😳!!
          
        ",GMK,proposal,2024-05-15T18:01:37.899Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
o2KxzHAO9jQ,"
          
          
          
          
            Je vais porter la Flamme Olympique 🇫🇷🤹‍♀️🥇 - Malik Bentalha
          
        ",Malik Bentalha,proposal,2024-05-15T18:01:37.904Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
K49xj4WDPF8,"
          
          
          
          
            Intéressant : Pourquoi meurt-on plus en hiver qu’en été ? - 28 minutes - ARTE
          
        ",28 minutes - ARTE,proposal,2024-05-15T18:01:37.909Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
oeyoEXL1x_Q,"
          
          
          
          
            François Asselineau : Les sujets les plus graves ne sont pas traités dans cette campagne
          
        ",Europe 1,proposal,2024-05-15T18:01:37.914Z,,0,4,5,B8dBHd-hAC4,1,0,0,0,0,0,1,1
egM-wlaobjo,"
          
          
          
          
            Artus - Commissariat du 18 ème
          
        ",Montreux Comedy,proposal,2024-05-15T18:01:37.918Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
kVGhALTr2dg,"
          
          
          
          
            Positiv Portrait : Cathy
          
        ",Positiv,proposal,2024-05-15T18:01:37.922Z,,0,4,5,B8dBHd-hAC4,0,0,0,0,0,1,0,0
VjILoreoNco,Jordan Bardella IMPLACABLE sur linsécurité ! | Apolline Matin,Apolline Matin,regular,2024-05-15T18:01:45.863Z,,6000,5,6,,1,0,0,0,0,0,1,1
sWYziuLrYvM,"
          
          
          
          
            Philippe Caverivière face à Jordan Bardella
          
        ",RTL  ,proposal,2024-05-15T18:01:46.824Z,,0,5,6,VjILoreoNco,1,0,0,0,0,0,1,1
84FZQ3RUa2Q,"
          
          
          
          
            Ukraine : Marine Le Pen EXCÉDÉE par lattitude du président ! | Apolline Matin
          
        ",Apolline Matin,proposal,2024-05-15T18:01:46.832Z,,0,5,6,VjILoreoNco,1,0,0,0,0,0,1,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-15T18:01:46.839Z,,0,5,6,VjILoreoNco,1,0,1,0,0,0,1,1
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-15T18:01:46.845Z,,0,5,6,VjILoreoNco,1,0,1,0,0,0,1,1
Gq_5GZqbk7o,"
          
          
          
          
            LHeure des Pros : Il y a un énorme désespoir du peuple français (François Asselineau)
          
        ",Europe 1,proposal,2024-05-15T18:01:46.850Z,,0,5,6,VjILoreoNco,1,0,0,0,0,0,1,1
CzZoTATG6zs,"
          
          
          
          
            Offensive russe dans la région de Kharkiv, les Ukrainiens peuvent-ils tenir ?
          
        ",TV5MONDE Info,proposal,2024-05-15T18:01:46.858Z,,0,5,6,VjILoreoNco,0,0,0,0,0,0,1,0
